"alpha","avglen","dflen","pos","neg"
0.05,2.09025671318768,0.043642924928182,0,0
0.1,1.82015708234382,0.0493458454822301,0,0
0.15,1.55468094143532,0.117084857650739,0,0
0.2,1.38997399450487,0.0473679125618467,0.000384948513136368,0
0.25,1.25581599382977,0.0463520183788542,0,0
0.3,1.06975875289978,0.0451494155598572,0.00895005293042056,0
0.35,0.9900646396767,0.0513649053244266,0.0273313444326821,0
0.4,0.932066069708821,0.0533023385333591,0.0398421711096141,0
0.45,0.803326377833917,0.0476044712001722,0.11336733711866,0
0.5,0.718755860548332,0.0410533754916543,0.199692041189491,0
0.05,2.0116919100539,0.0529726486645789,0,0
0.1,1.78661378716691,0.057783362238666,0,0
0.15,1.50323811437056,0.0490187094100794,0.00105860841112501,0
0.2,1.4185051316566,0.0421536481687497,0,0
0.25,1.22480745460785,0.0422039961064193,0.000384948513136368,0
0.3,1.15661870012352,0.0451276939081822,0.00461938215763642,0
0.35,1.04518399639402,0.0551793139690147,0.0153017033971706,0
0.4,0.844897266780611,0.0745884921598235,0.106245789625638,0
0.45,0.793460594905669,0.0591730059737465,0.111827543066115,0
0.5,0.725084935497925,0.0533653146069036,0.187084977384275,0
0.05,2.03092647841873,0.0504357902663133,0,0
0.1,1.76717589074308,0.0430189745682573,0,0
0.15,1.62172419249036,0.0802997350113432,0,0
0.2,1.36577241856816,0.0607845944415871,0,0
0.25,1.34724257156878,0.0533033416865985,0.00048118564142046,0
0.3,1.11706411710422,0.0488318182301033,0.00442690790106823,0
0.35,1.01128334435841,0.0658657245351079,0.0293523241266481,0
0.4,0.916296361556392,0.127181873418478,0.0737176402656145,0
0.45,0.764232145537537,0.0604087713797344,0.128380329130979,0
0.5,0.710268403605871,0.0502128250439367,0.230584159368684,0
0.05,2.08764112173927,0.0729181867735368,0,0
0.1,1.79387457058536,0.0666095059833423,0,0
0.15,1.55047974564325,0.0508254011903536,0,0
0.2,1.35580665991507,0.0755228605876894,0,0
0.25,1.26369824099312,0.0703643731272838,0.000384948513136368,0
0.3,1.10319758680773,0.050266544188394,0.00336829948994322,0
0.35,0.966987780219548,0.0484441252731265,0.0294485612549322,0
0.4,0.973153612946698,0.0629657428991768,0.0339717062842845,0
0.45,0.791334543019722,0.0462762390749902,0.141468578577615,0
0.5,0.724163564698052,0.0564326336265074,0.148590126070638,0
0.05,2.14107357187462,0.07055968544452,0,0
0.1,1.80577964189725,0.0475336800450957,0,0
