"method","cr","len","alpha"
"CQR_inexact_quantBART",0.9616,2.20242986170719,0.05
"CQR_exact_quantBART",1,3.95759133293226,0.05
"CQR_naive_quantBART",1,3.93352480971631,0.05
"CF",0.1662,0.212370077545646,0.05
"xlearner",0.2598,0.339867158673188,0.05
"bart_naive",0.9976,3.1520015396366,0.05
"bart_inexact",0.8584,1.51872112233517,0.05
"CQR_inexact_quantRF",0.9734,2.37231620438151,0.05
"CQR_exact_quantRF",1,5.24647351107316,0.05
"CQR_naive_quantRF",1,4.2263882448733,0.05
"CQR_inexact_quantBoosting",0.9532,2.11644045763429,0.05
"CQR_exact_quantBoosting",1,4.38575287921759,0.05
"CQR_naive_quantBoosting",0.999,3.67498818608042,0.05
"CQR_inexact_quantBART",0.9296,1.88990336207505,0.05
"CQR_exact_quantBART",1,3.66775418384283,0.05
"CQR_naive_quantBART",0.9986,3.3878108070675,0.05
"CF",0.1794,0.223914141523532,0.05
"xlearner",0.2534,0.334083549254172,0.05
"bart_naive",0.9976,3.36149030618595,0.05
"bart_inexact",0.8718,1.60561664992177,0.05
"CQR_inexact_quantRF",0.989,2.85094753565363,0.05
"CQR_exact_quantRF",1,4.59323756499713,0.05
"CQR_naive_quantRF",1,4.62839273932525,0.05
"CQR_inexact_quantBoosting",0.9822,2.62907750201354,0.05
"CQR_exact_quantBoosting",1,4.19317582037401,0.05
"CQR_naive_quantBoosting",0.9988,4.14304300211597,0.05
"CQR_inexact_quantBART",0.9662,2.26407067991331,0.05
"CQR_exact_quantBART",1,4.05070570850221,0.05
"CQR_naive_quantBART",1,4.30014580994661,0.05
"CF",0.161,0.216433029963014,0.05
"xlearner",0.2352,0.31205440926645,0.05
"bart_naive",0.9956,3.18910836981837,0.05
"bart_inexact",0.8652,1.55413256569343,0.05
"CQR_inexact_quantRF",0.983,2.66758320813116,0.05
"CQR_exact_quantRF",1,5.35967525200855,0.05
"CQR_naive_quantRF",0.9992,4.01071242798571,0.05
"CQR_inexact_quantBoosting",0.9732,2.52970480663972,0.05
"CQR_exact_quantBoosting",0.9996,4.22961274227998,0.05
"CQR_naive_quantBoosting",0.9938,3.18737048516154,0.05
"CQR_inexact_quantBART",0.9414,1.94905693116196,0.05
"CQR_exact_quantBART",0.9992,3.51825273977846,0.05
"CQR_naive_quantBART",0.998,3.54442676828322,0.05
"CF",0.1758,0.22473761249769,0.05
"xlearner",0.2444,0.320736732097579,0.05
"bart_naive",0.9956,3.22310038267885,0.05
"bart_inexact",0.8334,1.46467579690709,0.05
"CQR_inexact_quantRF",0.97,2.3149413743406,0.05
"CQR_exact_quantRF",0.9998,4.26163907740972,0.05
"CQR_naive_quantRF",0.9998,4.17735754386857,0.05
"CQR_inexact_quantBoosting",0.976,2.41562291753251,0.05
"CQR_exact_quantBoosting",0.9988,3.85917111228305,0.05
"CQR_naive_quantBoosting",0.9996,3.8547947139015,0.05
"CQR_inexact_quantBART",0.9418,2.06464233124657,0.05
"CQR_exact_quantBART",0.999,3.77117003491203,0.05
"CQR_naive_quantBART",0.994,3.11542561841894,0.05
"CF",0.173,0.230653576478865,0.05
"xlearner",0.2628,0.351847447354271,0.05
"bart_naive",0.9988,3.54745582109916,0.05
"bart_inexact",0.8674,1.60892125880007,0.05
"CQR_inexact_quantRF",0.9774,2.52529161291739,0.05
"CQR_exact_quantRF",1,4.23860431143627,0.05
"CQR_naive_quantRF",1,4.96782678989698,0.05
"CQR_inexact_quantBoosting",0.955,2.20863616953747,0.05
"CQR_exact_quantBoosting",1,4.83320234712111,0.05
"CQR_naive_quantBoosting",1,4.74276818908542,0.05
"CQR_inexact_quantBART",0.9788,2.47703176419533,0.05
"CQR_exact_quantBART",0.9998,4.28909357811359,0.05
"CQR_naive_quantBART",1,4.43191734291782,0.05
"CF",0.1546,0.193425296245459,0.05
"xlearner",0.2562,0.344501981657583,0.05
"bart_naive",0.999,3.42704438160853,0.05
"bart_inexact",0.888,1.68267197749293,0.05
"CQR_inexact_quantRF",0.9624,2.21878015133515,0.05
"CQR_exact_quantRF",1,4.3568216529934,0.05
"CQR_naive_quantRF",1,4.57311603525464,0.05
"CQR_inexact_quantBoosting",0.9556,2.12456480179472,0.05
"CQR_exact_quantBoosting",1,4.44533175229486,0.05
"CQR_naive_quantBoosting",0.9992,3.7878701656744,0.05
"CQR_inexact_quantBART",0.9308,1.90474809108474,0.05
"CQR_exact_quantBART",1,4.28442350576106,0.05
"CQR_naive_quantBART",0.9984,3.40084488138798,0.05
"CF",0.1518,0.197934011293981,0.05
"xlearner",0.2318,0.305489175296192,0.05
