method,cr_py,len_py,alpha_py,cr_r,len_r,alpha_r,cr_diff,len_diff
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.41412259006317,0.05,-0.1354056394957175,-1.5577185914180687
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.136384353014,0.05,-0.1354056394957175,-1.2799803543688988
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.71905344689457,0.05,-0.1354056394957175,-1.8626494482494689
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.01543367327423,0.05,-0.1354056394957175,-1.1590296746291289
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.22903188285729,0.05,-0.1354056394957175,-1.3726278842121893
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.73595274295049,0.05,-0.1354056394957175,-1.8795487443053887
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9984,3.55454526908911,0.05,-0.13380563949571744,-0.6981412704440091
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9988,3.57644600527835,0.05,-0.1342056394957175,-0.7200420066332489
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.96932707698873,0.05,-0.1352056394957175,-1.1129230783436288
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.10754731803236,0.05,-0.1352056394957175,-1.2511433193872588
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.41426242227644,0.05,-0.1354056394957175,-1.5578584236313393
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9994,3.87775320113619,0.05,-0.13480563949571744,-1.021349202491089
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.74698570778583,0.05,-0.1352056394957175,-0.8905817091407289
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,4.09240859725046,0.05,-0.13500563949571753,-1.2360045986053585
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,5.0727672066349,0.05,-0.1354056394957175,-2.216363207989799
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.6088984210056,0.05,-0.1354056394957175,-1.752494422360499
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.26189854245044,0.05,-0.1354056394957175,-1.4054945438053386
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.83054775359968,0.05,-0.1352056394957175,-0.974143754954579
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.999,4.14156560050959,0.05,-0.1344056394957175,-1.2851616018644894
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.948,2.02577528897909,0.05,-0.08340563949571744,0.8306287096660112
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9652,2.19212436852467,0.05,-0.10060563949571744,0.664279630120431
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9678,2.22937152914952,0.05,-0.10320563949571748,0.6270324694955809
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9702,2.38082001715131,0.05,-0.10560563949571744,0.475583981493791
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9666,2.33803050056076,0.05,-0.1020056394957175,0.5183734980843413
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9674,2.38278760595127,0.05,-0.10280563949571753,0.47361639269383105
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9744,2.4363519242503,0.05,-0.10980563949571753,0.4200520743948011
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.986,2.63412662134683,0.05,-0.12140563949571748,0.2222773772982709
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9532,2.12379081321516,0.05,-0.08860563949571754,0.7326131854299409
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9532,2.11644045763429,0.05,-0.08860563949571754,0.7399635410108112
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9822,2.62907750201354,0.05,-0.11760563949571745,0.2273264966315609
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9732,2.52970480663972,0.05,-0.10860563949571744,0.326699192005381
