user_id,treated,factual_outcome,cf_y0_lower,cf_y0_upper,cf_y1_lower,cf_y1_upper,ite_lower,ite_upper
1012,1,63.0,63.63075936759305,63.642012835257525,,,-0.6420128352575247,-0.6307593675930505
1024,1,56.0,55.67454346011868,55.68579692778315,,,0.3142030722168485,0.3254565398813227
1030,1,60.0,60.099742588264114,60.11099605592859,,,-0.11099605592858808,-0.09974258826411386
1034,1,49.0,48.84638008230943,48.857633549973905,,,0.1423664500260955,0.1536199176905697
1043,1,77.0,77.16814145370293,77.17939492136739,,,-0.17939492136738977,-0.16814145370292977
1071,1,72.0,73.51312652260589,73.52437999027035,,,-1.5243799902703472,-1.5131265226058872
1090,1,85.0,85.65497789185582,85.66623135952028,,,-0.6662313595202818,-0.6549778918558218
1093,1,81.0,79.93860480122152,79.949858268886,,,1.050141731113996,1.0613951987784844
1103,1,85.0,85.9407474289579,85.9520008966224,,,-0.9520008966223941,-0.9407474289579056
1106,1,92.0,92.08700961341694,92.0982630810814,,,-0.0982630810813987,-0.08700961341693869
1107,1,82.0,82.91701788545308,82.92827135311754,,,-0.9282713531175375,-0.9170178854530775
1109,1,80.0,81.217639502228,81.22889296989246,,,-1.2288929698924562,-1.2176395022279962
1110,1,89.0,89.6996473124207,89.71090078008515,,,-0.7109007800851543,-0.6996473124206943
1114,1,100.0,99.69321800672515,99.7044714743896,,,0.29552852561039344,0.30678199327485345
1116,1,98.0,98.44549226177136,98.45674572943582,,,-0.4567457294358235,-0.4454922617713635
1121,1,105.0,104.2251527552306,104.23640622289508,,,0.7635937771049157,0.7748472447694041
1122,1,87.0,88.49408084709697,88.50533431476143,,,-1.505334314761427,-1.494080847096967
1123,1,56.0,56.74390265826167,56.75515612592614,,,-0.7551561259261419,-0.7439026582616677
1127,1,78.0,78.65401029010297,78.66526375776743,,,-0.6652637577674341,-0.6540102901029741
113,1,68.0,67.52742891520279,67.53868238286725,,,0.46131761713274955,0.47257108479720955
1130,1,69.0,67.7486210870778,67.75987455474228,,,1.2401254452577177,1.2513789129222062
1134,1,50.0,50.596188297202005,50.60744176486648,,,-0.6074417648664792,-0.596188297202005
1136,1,44.0,44.44446564981542,44.455719117479894,,,-0.45571911747989446,-0.44446564981542025
1137,1,85.0,85.60151524808961,85.6127687157541,,,-0.6127687157541004,-0.601515248089612
1144,1,101.0,100.11122947940163,100.12248294706609,,,0.8775170529339107,0.8887705205983707
1145,1,170.0,174.2149562717293,174.22620973939377,,,-4.2262097393937665,-4.2149562717293065
1147,1,122.0,122.28741132707071,122.29866479473517,,,-0.29866479473517415,-0.28741132707071415
1160,1,120.0,119.0575722862803,119.0688257539448,,,0.9311742460552068,0.9424277137196952
1166,1,118.0,119.11859597094798,119.12984943861244,,,-1.129849438612439,-1.118595970947979
1177,1,195.0,172.87736749565096,172.88862096331542,,,22.111379036684582,22.122632504349042
1188,1,63.0,62.25825517384908,62.26950864151355,,,0.7304913584864465,0.7417448261509207
1189,1,170.0,174.24770216773766,174.25895563540212,,,-4.258955635402117,-4.247702167737657
1191,1,158.0,174.16723689667134,174.1784903643358,,,-16.1784903643358,-16.16723689667134
1196,1,88.0,86.67504058725302,86.68629405491748,,,1.3137059450825177,1.3249594127469777
1199,1,50.0,50.713480278011765,50.72473374567624,,,-0.7247337456762395,-0.7134802780117653
1200,1,71.0,71.12711427481054,71.138367742475,,,-0.1383677424749976,-0.1271142748105376
1205,1,105.0,104.80410706244913,104.81536053011362,,,0.18463946988637758,0.195892937550866
1209,1,103.0,103.1904100807977,103.20166354846216,,,-0.2016635484621645,-0.1904100807977045
1213,1,65.0,65.19284885048148,65.20410231814594,,,-0.20410231814594226,-0.19284885048148226
1218,1,99.0,98.22471827149627,98.23597173916073,,,0.7640282608392681,0.7752817285037281
1225,1,104.0,103.7085714511241,103.71982491878859,,,0.28017508121141077,0.2914285488758992
1227,1,118.0,119.12892132946135,119.14017479712581,,,-1.140174797125809,-1.128921329461349
1236,1,60.0,60.21646498484299,60.22771845250747,,,-0.22771845250746736,-0.21646498484299315
1243,1,67.0,67.20012797243723,67.21138144010172,,,-0.211381440101718,-0.20012797243722957
1250,1,63.0,63.80297198678662,63.8142254544511,,,-0.8142254544510976,-0.8029719867866234
1272,1,81.0,80.19343017965679,80.20468364732125,,,0.7953163526787534,0.8065698203432135
1276,1,60.0,59.3215593238416,59.33281279150607,,,0.6671872084939281,0.6784406761584023
1277,1,84.0,83.9120121043008,83.92326557196526,,,0.07673442803474018,0.08798789569920018
1287,1,136.0,135.6750689205878,135.68632238825225,,,0.31367761174774955,0.32493107941220956
1289,1,116.0,115.38215294043397,115.39340640809843,,,0.6065935919015715,0.6178470595660315
129,1,80.0,80.9178215938395,80.92907506150397,,,-0.9290750615039656,-0.9178215938395056
1298,1,152.0,157.02881644943483,157.0400699170993,,,-5.040069917099288,-5.028816449434828
130,1,43.0,42.81196773558133,42.8232212032458,,,0.17677879675419916,0.18803226441867338
1304,1,121.0,123.50529989007731,123.51655335774177,,,-2.5165533577417705,-2.5052998900773105
1307,1,98.0,98.90423119940758,98.91548466707204,,,-0.915484667072036,-0.904231199407576
1308,1,49.0,48.85961235414285,48.87086582180732,,,0.12913417819267892,0.14038764585715313
1312,1,137.0,137.23427259513448,137.24552606279894,,,-0.24552606279894462,-0.23427259513448462
1313,1,93.0,92.65489040484007,92.66614387250456,,,0.33385612749543725,0.3451095951599257
1323,1,83.0,82.58407046338172,82.59532393104618,,,0.4046760689538189,0.4159295366182789
